lineage,workload,process,stack_rank,iteration,call_id,op_index,start_ns,end_ns,host_ns,gpu_work_ns,cuda_api_ns,cuda_api_top
scaled,react_tool_L,host_input_generate,1,6,answer,,5298580515,5384457989,85877474,0,10179,cudaEventQuery
scaled,react_tool_L,host_input_generate,2,0,answer,,3881049144,3949076670,68027526,0,11460,cudaEventQuery
scaled,react_tool_L,host_input_generate,3,7,answer,,5557579357,5624971019,67391662,0,10158,cudaEventQuery
scaled,react_tool_L,host_input_generate,4,6,plan,,5178123098,5245315759,67192661,0,8539,cudaEventQuery
scaled,react_tool_L,host_input_generate,5,7,plan,,5437535248,5504543961,67008713,0,9318,cudaEventQuery
scaled,react_tool_L,mir_operator:LinearOp,1,4,plan,12,4802386341,4814123179,11736838,11638281,11180194,cudaEventSynchronize
scaled,react_tool_L,mir_operator:LinearOp,2,0,plan,12,3860724906,3872426342,11701436,11612715,11160688,cudaEventSynchronize
scaled,react_tool_L,mir_operator:LinearOp,3,3,answer,12,4684390656,4696038206,11647550,11493358,11044580,cudaEventSynchronize
scaled,react_tool_L,mir_operator:LinearOp,4,1,plan,12,4100102938,4111746868,11643930,11522221,11069394,cudaEventSynchronize
scaled,react_tool_L,mir_operator:LinearOp,5,6,answer,10,5396258164,5407883274,11625110,11420945,10771998,cudaEventSynchronize
scaled,planner_debate_L,host_input_generate,1,4,critic-a,,10930046254,11047854900,117808646,0,13483,cudaEventQuery
scaled,planner_debate_L,host_input_generate,2,3,critic-b,,10086928526,10204426967,117498441,0,9183,cudaEventQuery
scaled,planner_debate_L,host_input_generate,3,1,critic-a,,7681340652,7798606871,117266219,0,9194,cudaEventQuery
scaled,planner_debate_L,host_input_generate,4,2,critic-merge,,9237079717,9354129664,117049947,0,9600,cudaEventQuery
scaled,planner_debate_L,host_input_generate,5,7,critic-merge,,14613421562,14730291409,116869847,0,12564,cudaEventQuery
scaled,planner_debate_L,mir_operator:LinearOp,1,6,critic-b,12,13510267034,13538035371,27768337,27595019,27112135,cudaEventSynchronize
scaled,planner_debate_L,mir_operator:LinearOp,2,5,critic-merge,12,12683451351,12711037643,27586292,27302099,26848392,cudaEventSynchronize
scaled,planner_debate_L,mir_operator:LinearOp,3,0,critic-merge,12,7280123009,7307605013,27482004,27282757,26770495,cudaEventSynchronize
scaled,planner_debate_L,mir_operator:LinearOp,4,4,critic-merge,12,11608485378,11635850884,27365506,27221840,26781404,cudaEventSynchronize
scaled,planner_debate_L,mir_operator:LinearOp,5,1,critic-b,12,8125292319,8152623244,27330925,27154768,26681964,cudaEventSynchronize
scaled,planner_debate_L,mir_operator:RMSNormOp,1,4,critic-a,6,11049591628,11066194312,16602684,16313887,14428410,cudaEventSynchronize
scaled,planner_debate_L,mir_operator:RMSNormOp,2,5,critic-a,6,12117002851,12133604543,16601692,16318945,14353601,cudaEventSynchronize
scaled,planner_debate_L,mir_operator:RMSNormOp,3,7,critic-a,6,14251357759,14267907842,16550083,16266086,14339279,cudaEventSynchronize
scaled,planner_debate_L,mir_operator:RMSNormOp,4,0,critic-a,6,6709824649,6726359357,16534708,16255675,14316626,cudaEventSynchronize
scaled,planner_debate_L,mir_operator:RMSNormOp,5,7,critic-merge,6,14732030464,14748563311,16532847,16268678,14309718,cudaEventSynchronize
scaled,react_moa_mcts_x3_L,host_input_generate,1,4,moa-map2#r2,,54312857988,54452592884,139734896,0,9576,cudaEventQuery
scaled,react_moa_mcts_x3_L,host_input_generate,2,4,moa-map1#r2,,54050915669,54189651879,138736210,0,12413,cudaEventQuery
scaled,react_moa_mcts_x3_L,host_input_generate,3,4,mcts-actor0#r2,,54842152484,54980409736,138257252,0,9402,cudaEventQuery
scaled,react_moa_mcts_x3_L,host_input_generate,4,4,mcts-actor0#r1,,52528420976,52665807159,137386183,0,10126,cudaEventQuery
scaled,react_moa_mcts_x3_L,host_input_generate,5,5,moa-map2#r2,,61018162158,61154759112,136596954,0,9549,cudaEventQuery
scaled,react_moa_mcts_x3_L,mir_operator:LinearOp,1,2,mcts-root#r1,12,39138416391,39166311043,27894652,27759842,27318075,cudaEventSynchronize
scaled,react_moa_mcts_x3_L,mir_operator:LinearOp,2,3,mcts-actor0#r1,12,45985826217,46013665579,27839362,27704805,27208059,cudaEventSynchronize
scaled,react_moa_mcts_x3_L,mir_operator:LinearOp,3,6,moa-map1#r1,12,65448198239,65475897219,27698980,27557457,27045498,cudaEventSynchronize
scaled,react_moa_mcts_x3_L,mir_operator:LinearOp,4,1,mcts-actor1#r1,12,33037257021,33064932368,27675347,27515526,27010855,cudaEventSynchronize
scaled,react_moa_mcts_x3_L,mir_operator:LinearOp,5,6,mcts-root#r0,12,63717942589,63745591336,27648747,27469682,26954282,cudaEventSynchronize
scaled,react_moa_mcts_x3_L,mir_operator:RMSNormOp,1,0,mcts-actor0#r2,6,28291970076,28309068184,17098108,15834248,15049282,cudaEventSynchronize
scaled,react_moa_mcts_x3_L,mir_operator:RMSNormOp,2,2,mcts-actor1#r0,6,37325149260,37341937807,16788547,16386259,14596768,cudaEventSynchronize
scaled,react_moa_mcts_x3_L,mir_operator:RMSNormOp,3,4,moa-map2#r2,8,54471609567,54488393798,16784231,16549138,14756835,cudaEventSynchronize
scaled,react_moa_mcts_x3_L,mir_operator:RMSNormOp,4,6,mcts-actor1#r0,6,64109589641,64126180714,16591073,16338587,14710571,cudaEventSynchronize
scaled,react_moa_mcts_x3_L,mir_operator:RMSNormOp,5,7,mcts-actor0#r1,6,72643495674,72660079622,16583948,16320285,14616256,cudaEventSynchronize
