target,call_id,call_kind,matrix_size,process,op_type,op_index,attribution_source,attribution_type_id,template_source_workload,template_samples,est_host_ns,est_gpu_ns
react_moa_mcts,<dag>,dag,,dag_schedule_gap,,,template_scaled,dag||dag_schedule_gap|,planner_debate+react_tool,27,79911.0,0.0
react_moa_mcts,react-plan,llm,768,adapter_dispatch,,,template_scaled,llm|768|adapter_dispatch|,react_tool,6,4731.5,0.0
react_moa_mcts,react-plan,llm,768,token_preprocess_cpu,,,template_scaled,llm|768|token_preprocess_cpu|,react_tool,6,1153807.0,0.0
react_moa_mcts,react-plan,llm,768,host_input_generate,,,template_scaled,llm|768|host_input_generate|,react_tool,6,121477.0,0.0
react_moa_mcts,react-plan,llm,768,h2d_stage,,,template_scaled,llm|768|h2d_stage|,react_tool,6,115356.0,416.0
react_moa_mcts,react-plan,llm,768,weight_init,,,template_scaled,llm|768|weight_init|,react_tool,6,192971.0,0.0
react_moa_mcts,react-plan,llm,768,mir_operator:prefill_embed,prefill_embed,0,template_scaled,llm|768|mir_operator:prefill_embed|prefill_embed,react_tool,6,89948.0,1760.0
react_moa_mcts,react-plan,llm,768,inter_operator_dispatch,,,template_scaled,llm|768|inter_operator_dispatch|,react_tool,13098,20555.5,0.0
react_moa_mcts,react-plan,llm,768,mir_operator:prefill_layer00,prefill_layer00,1,template_scaled,llm|768|mir_operator:prefill_layer00|prefill_layer00,react_tool,6,1429790.0,418067.0
react_moa_mcts,react-plan,llm,768,inter_operator_dispatch,,,template_scaled,llm|768|inter_operator_dispatch|,react_tool,13098,20555.5,0.0
react_moa_mcts,react-plan,llm,768,mir_operator:prefill_layer01,prefill_layer01,2,template_scaled,llm|768|mir_operator:prefill_layer01|prefill_layer01,react_tool,6,1308675.5,390883.0
react_moa_mcts,react-plan,llm,768,inter_operator_dispatch,,,template_scaled,llm|768|inter_operator_dispatch|,react_tool,13098,20555.5,0.0
react_moa_mcts,react-plan,llm,768,mir_operator:prefill_layer02,prefill_layer02,3,template_scaled,llm|768|mir_operator:prefill_layer02|prefill_layer02,react_tool,6,1188428.5,390546.5
react_moa_mcts,react-plan,llm,768,inter_operator_dispatch,,,template_scaled,llm|768|inter_operator_dispatch|,react_tool,13098,20555.5,0.0
react_moa_mcts,react-plan,llm,768,mir_operator:prefill_layer03,prefill_layer03,4,template_scaled,llm|768|mir_operator:prefill_layer03|prefill_layer03,react_tool,6,1134998.0,390866.0
react_moa_mcts,react-plan,llm,768,inter_operator_dispatch,,,template_scaled,llm|768|inter_operator_dispatch|,react_tool,13098,20555.5,0.0
react_moa_mcts,react-plan,llm,768,mir_operator:prefill_layer04,prefill_layer04,5,template_scaled,llm|768|mir_operator:prefill_layer04|prefill_layer04,react_tool,6,1129556.5,389988.0
react_moa_mcts,react-plan,llm,768,inter_operator_dispatch,,,template_scaled,llm|768|inter_operator_dispatch|,react_tool,13098,20555.5,0.0
react_moa_mcts,react-plan,llm,768,mir_operator:prefill_layer05,prefill_layer05,6,template_scaled,llm|768|mir_operator:prefill_layer05|prefill_layer05,react_tool,6,1108755.5,389075.5
react_moa_mcts,react-plan,llm,768,inter_operator_dispatch,,,template_scaled,llm|768|inter_operator_dispatch|,react_tool,13098,20555.5,0.0
react_moa_mcts,react-plan,llm,768,mir_operator:prefill_layer06,prefill_layer06,7,template_scaled,llm|768|mir_operator:prefill_layer06|prefill_layer06,react_tool,6,1074833.0,414787.0
react_moa_mcts,react-plan,llm,768,inter_operator_dispatch,,,template_scaled,llm|768|inter_operator_dispatch|,react_tool,13098,20555.5,0.0
react_moa_mcts,react-plan,llm,768,mir_operator:prefill_layer07,prefill_layer07,8,template_scaled,llm|768|mir_operator:prefill_layer07|prefill_layer07,react_tool,6,1063796.0,391986.0
react_moa_mcts,react-plan,llm,768,inter_operator_dispatch,,,template_scaled,llm|768|inter_operator_dispatch|,react_tool,13098,20555.5,0.0
react_moa_mcts,react-plan,llm,768,mir_operator:prefill_layer08,prefill_layer08,9,template_scaled,llm|768|mir_operator:prefill_layer08|prefill_layer08,react_tool,6,1030874.5,391667.0
react_moa_mcts,react-plan,llm,768,inter_operator_dispatch,,,template_scaled,llm|768|inter_operator_dispatch|,react_tool,13098,20555.5,0.0
react_moa_mcts,react-plan,llm,768,mir_operator:prefill_layer09,prefill_layer09,10,template_scaled,llm|768|mir_operator:prefill_layer09|prefill_layer09,react_tool,6,1024308.5,390754.5
react_moa_mcts,react-plan,llm,768,inter_operator_dispatch,,,template_scaled,llm|768|inter_operator_dispatch|,react_tool,13098,20555.5,0.0
